,Family_Size,HH_head_Sex,HH_head_Age,Education,Electricity_expenditure,Water_expenditure,Total_Family_Income,Urbanity
120,4.5,1,58,1.0,600,0,6400.333333333333,0
121,7.0,1,34,1.0,2100,0,7516.0,0
122,5.5,1,38,1.0,750,0,6750.333333333333,0
123,3.0,1,41,3.0,8280,0,22295.333333333332,0
124,2.0,1,76,1.0,0,0,5093.166666666667,0
125,4.5,1,61,2.0,0,0,7500.833333333333,0
126,7.0,1,59,1.0,600,0,11052.333333333334,0
127,5.0,1,51,2.0,3600,0,7257.0,0
128,6.0,1,37,2.0,1200,0,7308.5,0
129,5.0,1,73,1.0,10140,0,43609.666666666664,0
130,6.0,1,37,3.0,180,0,6946.666666666667,0
131,6.0,1,54,3.0,300,0,32815.833333333336,0
132,5.5,1,29,2.0,240,0,6635.5,0
133,4.0,1,35,2.0,240,0,7704.666666666667,0
134,6.5,1,43,2.0,330,0,14856.333333333334,0
135,8.0,1,42,3.0,300,0,17490.166666666668,0
136,5.5,1,31,3.0,300,0,16158.166666666666,0
137,1.0,1,28,2.0,180,0,5801.833333333333,0
138,2.0,1,73,1.0,180,0,4590.5,0
139,2.0,2,54,1.0,390,0,5942.833333333333,0
140,5.0,1,33,3.0,240,0,8718.5,0
141,5.0,1,33,1.0,180,0,7238.5,0
142,8.0,1,37,3.0,240,0,15476.5,0
143,7.5,1,62,1.0,180,0,8342.0,0
144,1.0,1,39,1.0,180,0,4647.5,0
145,1.0,2,66,1.0,180,0,3415.1666666666665,0
146,5.0,1,36,2.0,180,0,6092.333333333333,0
147,2.0,1,78,1.0,180,0,5565.333333333333,0
148,7.5,1,57,1.0,300,0,13649.0,0
149,10.0,1,55,2.0,180,0,10794.5,0
150,6.0,1,32,1.0,1560,0,14008.333333333334,0
151,2.0,2,55,1.0,0,0,6813.833333333333,0
152,4.0,1,42,2.0,2880,0,15652.666666666666,0
153,7.0,1,49,1.0,2604,1200,20065.0,0
155,1.0,1,26,1.0,0,0,6430.666666666667,0
156,3.0,1,60,1.0,1176,3354,13354.5,0
157,7.5,1,35,1.0,2202,1110,14633.5,0
158,5.5,1,59,1.0,3114,0,27489.166666666668,0
159,7.0,1,63,5.0,1770,0,21635.833333333332,0
160,1.0,2,70,1.0,1434,1110,29597.5,0
161,3.0,1,42,3.0,2772,0,18672.5,0
