,UF,Nome,Código
129,AM,Aparecida - Urucurituba,1304401002
130,AM,Araújo Costa - Itacoatiara,1301902010
131,AM,Armando Mendes - Manaus,1302603052
132,AM,Atroari - Presidente Figueiredo,1303536013
133,AM,Auxiliadora - Manicoré,1302702005
134,AM,Bairro da Fonte - Lábrea,1302405001
135,AM,Bairro Novo - Lábrea,1302405008
136,AM,Barra Limpa - Lábrea,1302405004
137,AM,Beira Rio - Barreirinha,1300508005
138,AM,Benjamin Constant - São Paulo de Olivença,1303908003
139,AM,Betânia - Manaus,1302603027
140,AM,Biribiri - Manacapuru,1302504003
141,AM,Bom Jardim - Benjamin Constant,1300607007
142,AM,Cachoeirinha - Manaus,1302603005
143,AM,Campina - Santo Antônio do Içá,1303700011
144,AM,Castanhal - Benjamin Constant,1300607009
145,AM,Castanheira - Silves,1304005003
146,AM,Castanheira - Parintins,1303403020
147,AM,Centenário - Itacoatiara,1301902025
148,AM,Centro - Itacoatiara,1301902001
149,AM,Centro - Barreirinha,1300508001
150,AM,Centro - Presidente Figueiredo,1303536001
151,AM,Centro - Santo Antônio do Içá,1303700001
152,AM,Centro - Manicoré,1302702010
153,AM,Centro - Maués,1302900002
154,AM,Centro - Benjamin Constant,1300607001
155,AM,Centro - Silves,1304005001
156,AM,Centro - Humaitá,1301704009
157,AM,Centro - Coari,1301209011
158,AM,Centro - Carauari,1301001001
159,AM,Centro - Lábrea,1302405002
160,AM,Centro - São Paulo de Olivença,1303908001
161,AM,Centro - Manacapuru,1302504001
162,AM,Centro - Novo Aripuanã,1303304001
163,AM,Centro - Manaus,1302603001
164,AM,Centro - Amaturá,1300060001
165,AM,Centro - Barcelos,1300409001
166,AM,Centro - Nova Olinda do Norte,1303106007
167,AM,Centro - Urucurituba,1304401001
168,AM,Centro - Borba,1300805001
169,AM,Centro - Eirunepé,1301407001
170,AM,Centro - Parintins,1303403001
171,AM,Chagas Aguiar - Coari,1301209002
172,AM,Chapada - Manaus,1302603043
173,AM,Chicolândia - Nova Olinda do Norte,1303106003
174,AM,Cidade de Deus - Manaus,1302603059
175,AM,Cidade Nova - Manaus,1302603049
176,AM,Cidade Nova - Benjamin Constant,1300607008
177,AM,Cohabam - Benjamin Constant,1300607004
178,AM,Coimbra - Benjamin Constant,1300607002
179,AM,Colônia - Itacoatiara,1301902002
180,AM,Colônia - Benjamin Constant,1300607003
181,AM,Colônia Antônio Aleixo - Manaus,1302603034
182,AM,Colônia da Ribeira - Manicoré,1302702009
183,AM,Colônia Oliveira Machado - Manaus,1302603028
184,AM,Colônia Santo Antônio - Manaus,1302603044
185,AM,Colônia São Sebastião - São Paulo de Olivença,1303908007
186,AM,Colônia Terra Nova - Manaus,1302603046
187,AM,Compensa - Manaus,1302603010
188,AM,Coroado - Manaus,1302603023
189,AM,Correnteza - Manacapuru,1302504010
190,AM,Crespo - Manaus,1302603030
191,AM,Cristo Rei - Borba,1300805004
192,AM,Da Paz - Manaus,1302603018
193,AM,da Paz - Itacoatiara,1301902016
194,AM,de Campinas - São Paulo de Olivença,1303908004
195,AM,Dejard Vieira - Parintins,1303403014
196,AM,Distrito Industrial - Parintins,1303403015
197,AM,Distrito Industrial I - Manaus,1302603032
198,AM,Distrito Industrial II - Manaus,1302603057
199,AM,Divino Pranto - Humaitá,1301704012
200,AM,Do eden - Maués,1302900007
201,AM,Do Iracy - Itacoatiara,1301902006
202,AM,Do Pera - Coari,1301209001
203,AM,Dom Bosco - Manicoré,1302702002
204,AM,Dom Pedro I - Manaus,1302603036
205,AM,Donga Michiles - Maués,1302900008
206,AM,Dos Trabalhadores - Novo Aripuanã,1303304002
207,AM,Duque de Caxias - Coari,1301209004
208,AM,Eduardo Braga I - Itacoatiara,1301902017
209,AM,Eduardo Braga II - Itacoatiara,1301902018
210,AM,Educandos - Manaus,1302603024
211,AM,Emílio Moreira - Parintins,1303403009
212,AM,Espírito Santo - Coari,1301209009
213,AM,Fátima - Carauari,1301001002
214,AM,Flores - Manaus,1302603037
215,AM,Florestal - Itacoatiara,1301902015
216,AM,Fortaleza - Boca do Acre,1300706003
217,AM,Francesa - Parintins,1303403002
218,AM,Franco - Santo Antônio do Içá,1303700002
219,AM,Galo da Serra - Presidente Figueiredo,1303536010
220,AM,Gilberto Mestrinho - Manaus,1302603062
221,AM,Glória - Manaus,1302603007
222,AM,Governador Plinio Coelho - Silves,1304005005
223,AM,Honório Roldão - Presidente Figueiredo,1303536002
224,AM,Independência - Santo Antônio do Içá,1303700003
225,AM,Ipasea - Manicoré,1302702011
226,AM,Ipiranga - Borba,1300805003
227,AM,Itamarati - Coari,1301209005
228,AM,Itaúna I - Parintins,1303403016
229,AM,Itaúna II - Parintins,1303403019
230,AM,Jacareacanga - Parintins,1303403017
231,AM,Japiim - Manaus,1302603022
232,AM,Japiim - Novo Aripuanã,1303304004
233,AM,Jardim Adriana - Itacoatiara,1301902021
234,AM,Jardim Lorena - Itacoatiara,1301902024
235,AM,Jauary - Itacoatiara,1301902003
236,AM,Jauary II - Itacoatiara,1301902020
237,AM,Javarizinho - Benjamin Constant,1300607005
238,AM,João Novo - Parintins,1303403013
239,AM,Jorge Teixeira - Manaus,1302603056
240,AM,José Carlos Mestrinho - São Paulo de Olivença,1303908008
241,AM,José Dutra - Presidente Figueiredo,1303536005
242,AM,Lago Azul - Manaus,1302603063
243,AM,Lago Novo - Boca do Acre,1300706005
244,AM,Liberdade - Manacapuru,1302504004
245,AM,Liberdade - Urucurituba,1304401005
246,AM,Lírio do Vale - Manaus,1302603014
247,AM,Livramento - Urucurituba,1304401003
248,AM,Macajatuba - Silves,1304005002
249,AM,Macaxeiral - Boca do Acre,1300706004
250,AM,Mamoud Amed - Itacoatiara,1301902019
251,AM,Manicorezinho - Manicoré,1302702004
252,AM,Maresia - Maués,1302900004
253,AM,Mário Fonseca - Maués,1302900001
254,AM,Marivá - Barcelos,1300409006
255,AM,Maruaga - Presidente Figueiredo,1303536011
256,AM,Mauazinho - Manaus,1302603033
257,AM,Mazzarelo - Manicoré,1302702006
258,AM,Monte das Oliveiras - Manaus,1302603048
259,AM,Morada do Sol - Presidente Figueiredo,1303536006
260,AM,Morada do Sol - Manacapuru,1302504005
261,AM,Morara - Barcelos,1300409007
262,AM,Morro da Liberdade - Manaus,1302603026
263,AM,Mutirão - Itacoatiara,1301902022
264,AM,Nogueira Junior - Itacoatiara,1301902023
265,AM,Nossa Senhora Aparecida - Barcelos,1300409005
266,AM,Nossa Senhora Aparecida - Manaus,1302603002
267,AM,Nossa Senhora Aparecida - Eirunepé,1301407004
268,AM,Nossa Senhora da Conceição - Novo Aripuanã,1303304005
269,AM,Nossa Senhora das Graças - Manaus,1302603041
270,AM,Nossa Senhora de Fátima - Nova Olinda do Norte,1303106005
271,AM,Nossa Senhora de Fátima - Eirunepé,1301407005
272,AM,Nossa Senhora de Fátima - Lábrea,1302405005
273,AM,Nossa Senhora de Nazaré - Parintins,1303403007
274,AM,Nossa Senhora de Nazaré - Barcelos,1300409004
275,AM,Nossa Senhora do Carmo - Humaitá,1301704011
276,AM,Nossa Senhora do Perpétuo Socorro - Eirunepé,1301407002
277,AM,Nossa Senhora do Rosário - Manicoré,1302702007
278,AM,Nosso Senhor do Bonfin - São Paulo de Olivença,1303908005
279,AM,Nova Cidade - Manaus,1302603060
280,AM,Nova Esperança - Humaitá,1301704013
281,AM,Nova Esperança - Manaus,1302603013
282,AM,Nova Humaitá - Humaitá,1301704002
283,AM,Nova Manacá - Manacapuru,1302504011
284,AM,Nova República - Carauari,1301001004
285,AM,Novo Aleixo - Manaus,1302603058
286,AM,Novo Bairro - Maués,1302900009
287,AM,Novo Centenário - Humaitá,1301704007
288,AM,Novo Israel - Manaus,1302603045
289,AM,Orquídeas - Presidente Figueiredo,1303536009
290,AM,Palmares - Parintins,1303403006
291,AM,Panorama - Silves,1304005004
292,AM,Pantanal - Lábrea,1302405007
293,AM,Parque 10 de Novembro - Manaus,1302603038
294,AM,Pataquira - Santo Antônio do Içá,1303700005
295,AM,Paulo Corrêa - Parintins,1303403018
296,AM,Pedreiras - Urucurituba,1304401004
297,AM,Pedreiras - Itacoatiara,1301902005
298,AM,Petrópolis - Manaus,1302603021
299,AM,Planalto - Santo Antônio do Içá,1303700009
300,AM,Planalto - Manaus,1302603015
301,AM,Platô do Piquiá - Boca do Acre,1300706002
302,AM,Ponta Negra - Manaus,1302603050
303,AM,Praça 14 de Janeiro - Manaus,1302603004
304,AM,Praia do Gado - Boca do Acre,1300706001
305,AM,Prainha - Itacoatiara,1301902004
306,AM,Presidente Vargas - Manaus,1302603003
307,AM,Presidente Vargas - Santo Antônio do Içá,1303700004
308,AM,Puraquequara - Manaus,1302603035
309,AM,Raimundo Muniz - Parintins,1303403004
310,AM,Raiz - Manaus,1302603019
311,AM,Ramalho Júnior - Maués,1302900003
312,AM,Recreio - Borba,1300805005
313,AM,Redenção - Manaus,1302603017
314,AM,Rocinha - Manicoré,1302702003
315,AM,Samuel Amaral - Carauari,1301001003
316,AM,Santa Clara - Parintins,1303403003
317,AM,Santa Efigênia - Coari,1301209006
318,AM,Santa Etelvina - Santo Antônio do Içá,1303700010
319,AM,Santa Etelvina - Amaturá,1300060003
320,AM,Santa Etelvina - Manaus,1302603047
321,AM,Santa Helena - Coari,1301209003
322,AM,Santa Luzia - Manicoré,1302702001
323,AM,Santa Luzia - Nova Olinda do Norte,1303106004
324,AM,Santa Luzia - Itacoatiara,1301902007
325,AM,Santa Luzia - Maués,1302900005
326,AM,Santa Luzia - Manaus,1302603025
327,AM,Santa Maria - Nova Olinda do Norte,1303106002
328,AM,Santa Rita - Parintins,1303403005
329,AM,Santa Tereza - Maués,1302900006
330,AM,Santa Terezinha - São Paulo de Olivença,1303908002
331,AM,Santo Agostinho - Manaus,1302603012
332,AM,Santo Antônio - Eirunepé,1301407003
333,AM,Santo Antônio - Humaitá,1301704006
334,AM,Santo Antônio - Itacoatiara,1301902009
335,AM,Santo Antônio - Barcelos,1300409008
336,AM,Santo Antônio - Manaus,1302603008
337,AM,São Benedito - Barreirinha,1300508003
338,AM,São Benedito - Parintins,1303403011
339,AM,São Cristóvão - Humaitá,1301704010
340,AM,São Cristóvão - Itacoatiara,1301902011
341,AM,São Domingos Sávio - Manicoré,1302702008
342,AM,São Domingos Sávio - Humaitá,1301704001
343,AM,São Francisco - Santo Antônio do Içá,1303700007
344,AM,São Francisco - Amaturá,1300060002
345,AM,São Francisco - Barcelos,1300409003
346,AM,São Francisco - Manacapuru,1302504006
347,AM,São Francisco - Humaitá,1301704005
348,AM,São Francisco - Itacoatiara,1301902012
349,AM,São Francisco - Manaus,1302603020
350,AM,São Geraldo - Manaus,1302603042
351,AM,São João - São Paulo de Olivença,1303908006
352,AM,São Jorge - Manaus,1302603011
353,AM,São Jorge - Itacoatiara,1301902008
354,AM,São José - Lábrea,1302405003
355,AM,São José - Humaitá,1301704008
356,AM,São José - Manacapuru,1302504007
357,AM,São José - Parintins,1303403012
358,AM,São José - Eirunepé,1301407006
359,AM,São José Operário - Manaus,1302603054
360,AM,São Judas Tadeu - Barreirinha,1300508002
361,AM,São Lázaro - Manaus,1302603029
362,AM,São Lázaro - Urucurituba,1304401006
363,AM,São Pedro - Humaitá,1301704003
364,AM,São Raimundo - Manaus,1302603006
365,AM,São Sebastião - Humaitá,1301704004
366,AM,São Sebastião - Barcelos,1300409002
367,AM,São Sebastião - Borba,1300805002
368,AM,São Vicente de Paula - Parintins,1303403008
369,AM,Sol Nascente - Presidente Figueiredo,1303536007
370,AM,Taboca - Santo Antônio do Içá,1303700006
371,AM,Tabocal - Urucurituba,1304401007
372,AM,Tancredo Neves - Presidente Figueiredo,1303536003
373,AM,Tancredo Neves - Manaus,1302603055
374,AM,Tarauacá - Santo Antônio do Içá,1303700012
375,AM,Tarumã - Manaus,1302603051
376,AM,Tarumã-Açu - Manaus,1302603061
377,AM,Tauá Mirim - Coari,1301209010
378,AM,Terra Preta - Manacapuru,1302504008
379,AM,Tiradentes - Itacoatiara,1301902013
380,AM,Tv - Novo Aripuanã,1303304003
381,AM,Umarizal - Benjamin Constant,1300607006
382,AM,União - São Paulo de Olivença,1303908009
383,AM,União - Manacapuru,1302504009
384,AM,União - Coari,1301209007
385,AM,Urbano Centro - Careiro,1301100001
386,AM,Urbano Horizonte - Careiro,1301100003
387,AM,Urbano Industrial - Careiro,1301100004
388,AM,Urbano Novo - Barreirinha,1300508004
389,AM,Urbano Sebastião Borges - Careiro,1301100005
390,AM,Urbano Vista Alegre - Careiro,1301100002
391,AM,Urubuí - Presidente Figueiredo,1303536004
392,AM,Urucu - Coari,1301209008
393,AM,Vale do Sol - Nova Olinda do Norte,1303106001
394,AM,Vila Buriti - Manaus,1302603031
395,AM,Vila Costa - Silves,1304005006
396,AM,Vila da Prata - Manaus,1302603009
397,AM,Vila Falcão - Lábrea,1302405006
398,AM,Vitória Régia - Parintins,1303403010
399,AM,Waimiri - Presidente Figueiredo,1303536012
400,AM,Zumbi dos Palmares - Manaus,1302603053
401,AP,Alvorada - Macapá,1600303013
402,AP,Araxá - Macapá,1600303017
403,AP,Beirol - Macapá,1600303003
404,AP,Boné Azul - Macapá,1600303019
405,AP,Brasil Novo - Macapá,1600303018
406,AP,Buritizal - Macapá,1600303012
407,AP,Cabralzinho - Macapá,1600303020
408,AP,Central - Macapá,1600303001
409,AP,Central - Santana,1600600001
410,AP,Cidade Nova - Macapá,1600303027
411,AP,Comercial - Santana,1600600009
412,AP,Congos - Macapá,1600303010
413,AP,Daniel - Santana,1600600006
414,AP,Dos Remédios - Santana,1600600004
415,AP,Elesbão - Santana,1600600013
416,AP,Fonte Nova - Santana,1600600011
417,AP,Hospitalidade - Santana,1600600008
418,AP,Igarapé da Fortaleza - Santana,1600600012
419,AP,Infraero - Macapá,1600303025
420,AP,Jardim Equatorial - Macapá,1600303021
421,AP,Jardim Felicidade - Macapá,1600303016
422,AP,Jesus de Nazaré - Macapá,1600303005
423,AP,Laguinho - Macapá,1600303004
424,AP,Marco Zero - Macapá,1600303022
425,AP,Nova Brasília - Santana,1600600002
426,AP,Nova Esperança - Macapá,1600303011
427,AP,Novo Buritizal - Macapá,1600303028
428,AP,Novo Horizonte - Macapá,1600303023
429,AP,Novo Horizonte - Santana,1600600007
430,AP,Pacoval - Macapá,1600303007
431,AP,Paraíso - Santana,1600600010
432,AP,Pedrinhas - Macapá,1600303015
433,AP,Perpétuo Socorro - Macapá,1600303008
434,AP,Provedor - Santana,1600600003
435,AP,Santa Inês - Macapá,1600303009
436,AP,Santa Rita - Macapá,1600303006
437,AP,São Lázaro - Macapá,1600303014
438,AP,Trem - Macapá,1600303002
439,AP,Universidade - Macapá,1600303026
440,AP,Vila Amazonas - Santana,1600600005
441,AP,Zerão - Macapá,1600303029
442,BA,Aeroporto - Feira de Santana,2910800044
443,BA,Aírton Senna - Vitória da Conquista,2933307019
444,BA,Alto Maron - Vitória da Conquista,2933307004
445,BA,Asa Branca - Feira de Santana,2910800039
446,BA,Aviário - Feira de Santana,2910800037
447,BA,Baraúna - Feira de Santana,2910800023
448,BA,Bateias - Vitória da Conquista,2933307015
449,BA,Boa Vista - Vitória da Conquista,2933307012
450,BA,Boa Vista - Ruy Barbosa,2927200012
451,BA,Brasil - Vitória da Conquista,2933307007
452,BA,Brasília - Feira de Santana,2910800010
453,BA,Calumbi - Feira de Santana,2910800018
454,BA,Campinhos - Vitória da Conquista,2933307021
455,BA,Campo do Gado Novo - Feira de Santana,2910800038
456,BA,Campo Limpo - Feira de Santana,2910800035
457,BA,Candeias - Vitória da Conquista,2933307011
458,BA,Capuchinhos - Feira de Santana,2910800008
459,BA,CASEB - Feira de Santana,2910800004
460,BA,Centro - Feira de Santana,2910800001
461,BA,Centro - Ruy Barbosa,2927200001
462,BA,Centro - Vitória da Conquista,2933307001
463,BA,Chácara São Cosme - Feira de Santana,2910800013
464,BA,Cidade Nova - Feira de Santana,2910800024
465,BA,CIS - Feira de Santana,2910800031
466,BA,Conceição - Feira de Santana,2910800026
467,BA,Cruzeiro - Vitória da Conquista,2933307003
468,BA,Cruzeiro - Feira de Santana,2910800021
469,BA,Cruzeiro do Rocha - Ruy Barbosa,2927200015
470,BA,Das Populares - Ruy Barbosa,2927200003
471,BA,Distrito Industrial - Vitória da Conquista,2933307023
472,BA,Dois de Julho - Ruy Barbosa,2927200002
473,BA,Espírito Santo - Vitória da Conquista,2933307018
474,BA,Felícia - Vitória da Conquista,2933307013
475,BA,Flores - Ruy Barbosa,2927200007
476,BA,Folga - Ruy Barbosa,2927200013
477,BA,Gabriela - Feira de Santana,2910800033
478,BA,Guarani - Vitória da Conquista,2933307002
479,BA,Ibirapuera - Vitória da Conquista,2933307008
480,BA,Jardim Acácia - Feira de Santana,2910800014
481,BA,Jardim Alvorada - Ruy Barbosa,2927200014
482,BA,Jardim Cruzeiro - Feira de Santana,2910800020
483,BA,Jardim do Cedro - Ruy Barbosa,2927200004
484,BA,Jatobá - Vitória da Conquista,2933307020
485,BA,Jurema - Vitória da Conquista,2933307006
486,BA,Lagoa das Flores - Vitória da Conquista,2933307024
487,BA,Lagoa Grande - Feira de Santana,2910800006
488,BA,Lagoa Salgada - Feira de Santana,2910800029
489,BA,Limoeiro - Feira de Santana,2910800042
490,BA,Mangabeira - Feira de Santana,2910800025
491,BA,Muchila - Feira de Santana,2910800016
492,BA,Nossa Senhora Aparecida - Vitória da Conquista,2933307009
493,BA,Nova Brasilia - Ruy Barbosa,2927200009
494,BA,Nova Esperança - Feira de Santana,2910800032
495,BA,Novo Horizonte - Feira de Santana,2910800040
496,BA,Olhos D'Água - Feira de Santana,2910800012
497,BA,Orobozinho - Ruy Barbosa,2927200005
498,BA,Otto Alencar - Ruy Barbosa,2927200006
499,BA,Pampalona - Feira de Santana,2910800034
500,BA,Papagaio - Feira de Santana,2910800041
501,BA,Parque Getúlio Vargas - Feira de Santana,2910800007
502,BA,Parque Ipê - Feira de Santana,2910800036
503,BA,Patagônia - Vitória da Conquista,2933307014
504,BA,Pedra do Descanso - Feira de Santana,2910800017
505,BA,Ponto Central - Feira de Santana,2910800005
506,BA,Primavera - Vitória da Conquista,2933307010
507,BA,Queimadinha - Feira de Santana,2910800002
508,BA,Recreio - Vitória da Conquista,2933307005
509,BA,Rua Nova - Feira de Santana,2910800019
510,BA,Santa Monica - Feira de Santana,2910800009
511,BA,Santo Antônio dos Prazeres - Feira de Santana,2910800027
512,BA,São Francisco - Ruy Barbosa,2927200008
513,BA,São João (antigo Campo do Gado Velho) - Feira de Santana,2910800003
514,BA,São Pedro - Vitória da Conquista,2933307022
515,BA,Serraria Brasil - Feira de Santana,2910800011
516,BA,Sim - Feira de Santana,2910800028
517,BA,Sobradinho - Feira de Santana,2910800022
518,BA,Subaé - Feira de Santana,2910800043
519,BA,Tapiraipe - Ruy Barbosa,2927200010
520,BA,Tomba - Feira de Santana,2910800015
521,BA,Universidade - Vitória da Conquista,2933307017
522,BA,Vila Progresso - Ruy Barbosa,2927200011
523,BA,Zabelê - Vitória da Conquista,2933307016
524,BA,35º BI - Feira de Santana,2910800030
525,CE,Abílio Unias - Caririaçu,2303204010
526,CE,Acampamento - Cariús,2303303005
527,CE,Acaracuzinho I - Maracanaú,2307650034
528,CE,Acaracuzinho II - Maracanaú,2307650035
